id_text,source,target,Type,ancient_author,recipient
P313926,Nanu,Meṣate-ibni,undirected,Nanu,
P334497,Ša-Aššur-dubbu,Duri-Adad,undirected,Ša-Aššur-dubbu,
P334139,Naʾdi-ilu,Naṣib-il,undirected,Naʾdi-ilu,
P334139,Naʾdi-ilu,Šarru-emuranni,undirected,Naʾdi-ilu,
P334139,Naṣib-il,Šarru-emuranni,undirected,Naʾdi-ilu,
P334139,Šarru-emuranni,Naṣib-il,undirected,Naʾdi-ilu,
P313711,Aššur-dur-paniya,Ariye,undirected,Aššur-dur-paniya,
P313585,Ariye,Ariaza,undirected,Gabbu-ana-Aššur,
P334060,Urdu-Sin,Issar-duri,undirected,Urdu-Sin,
P334060,Urdu-Sin,Urzana,undirected,Urdu-Sin,
P334060,Issar-duri,Urzana,undirected,Urdu-Sin,
P334528,Aššur-dur-paniya,Ariye,undirected,Aššur-dur-paniya,
P334263,Šarru-emuranni,Kubaba-satar,undirected,Šarru-emuranni,
P314327,Saniye,Urzana,undirected,,
P334180,Aššur-belu-daʾʾin,Nabuʾa,undirected,Aššur-belu-daʾʾin,
P334612,Šulmu-beli,Yanzu,undirected,Šulmu-beli,
P334783,Nashir-Bel,Humamati,undirected,Nashir-Bel,
P334783,Nashir-Bel,Haldi-abu-uṣur,undirected,Nashir-Bel,
P334783,Nashir-Bel,Kanunaya,undirected,Nashir-Bel,
P334783,Nashir-Bel,Ahhutun,undirected,Nashir-Bel,
P334783,Humamati,Haldi-abu-uṣur,undirected,Nashir-Bel,
P334783,Humamati,Kanunaya,undirected,Nashir-Bel,
P334783,Humamati,Ahhutun,undirected,Nashir-Bel,
P334783,Haldi-abu-uṣur,Kanunaya,undirected,Nashir-Bel,
P334783,Haldi-abu-uṣur,Ahhutun,undirected,Nashir-Bel,
P334783,Kanunaya,Ahhutun,undirected,Nashir-Bel,
P334279,Šamaš-belu-uṣur,Arbailayu,undirected,Šamaš-belu-uṣur,
P334279,Šamaš-belu-uṣur,Ubru-Harran,undirected,Šamaš-belu-uṣur,
P334279,Arbailayu,Ubru-Harran,undirected,Šamaš-belu-uṣur,
P334279,Ubru-Harran,Arbailayu,undirected,Šamaš-belu-uṣur,
P337150,Aššur-reṣuwa,Bure,undirected,Aššur-reṣuwa,
P337150,Aššur-reṣuwa,Eziye,undirected,Aššur-reṣuwa,
P337150,Aššur-reṣuwa,Gamalu,undirected,Aššur-reṣuwa,
P337150,Aššur-reṣuwa,Ehiye,undirected,Aššur-reṣuwa,
P337150,Aššur-reṣuwa,Ariaza,undirected,Aššur-reṣuwa,
P337150,Aššur-reṣuwa,Kummaya,undirected,Aššur-reṣuwa,
P337150,Aššur-reṣuwa,Biriaun,undirected,Aššur-reṣuwa,
P337150,Aššur-reṣuwa,Ariye,undirected,Aššur-reṣuwa,
P337150,Aššur-reṣuwa,Kaqqadanu,undirected,Aššur-reṣuwa,
P337150,Aššur-reṣuwa,Saniye,undirected,Aššur-reṣuwa,
P337150,Bure,Eziye,undirected,Aššur-reṣuwa,
P337150,Bure,Gamalu,undirected,Aššur-reṣuwa,
P337150,Bure,Ehiye,undirected,Aššur-reṣuwa,
P337150,Bure,Ariaza,undirected,Aššur-reṣuwa,
P337150,Bure,Kummaya,undirected,Aššur-reṣuwa,
P337150,Bure,Biriaun,undirected,Aššur-reṣuwa,
P337150,Bure,Ariye,undirected,Aššur-reṣuwa,
P337150,Bure,Kaqqadanu,undirected,Aššur-reṣuwa,
P337150,Bure,Saniye,undirected,Aššur-reṣuwa,
P337150,Eziye,Gamalu,undirected,Aššur-reṣuwa,
P337150,Eziye,Ehiye,undirected,Aššur-reṣuwa,
P337150,Eziye,Ariaza,undirected,Aššur-reṣuwa,
P337150,Eziye,Kummaya,undirected,Aššur-reṣuwa,
P337150,Eziye,Biriaun,undirected,Aššur-reṣuwa,
P337150,Eziye,Ariye,undirected,Aššur-reṣuwa,
P337150,Eziye,Kaqqadanu,undirected,Aššur-reṣuwa,
P337150,Eziye,Saniye,undirected,Aššur-reṣuwa,
P337150,Gamalu,Ehiye,undirected,Aššur-reṣuwa,
P337150,Gamalu,Ariaza,undirected,Aššur-reṣuwa,
P337150,Gamalu,Kummaya,undirected,Aššur-reṣuwa,
P337150,Gamalu,Biriaun,undirected,Aššur-reṣuwa,
P337150,Gamalu,Ariye,undirected,Aššur-reṣuwa,
P337150,Gamalu,Kaqqadanu,undirected,Aššur-reṣuwa,
P337150,Gamalu,Saniye,undirected,Aššur-reṣuwa,
P337150,Ehiye,Ariaza,undirected,Aššur-reṣuwa,
P337150,Ehiye,Kummaya,undirected,Aššur-reṣuwa,
P337150,Ehiye,Biriaun,undirected,Aššur-reṣuwa,
P337150,Ehiye,Ariye,undirected,Aššur-reṣuwa,
P337150,Ehiye,Kaqqadanu,undirected,Aššur-reṣuwa,
P337150,Ehiye,Saniye,undirected,Aššur-reṣuwa,
P337150,Ariaza,Kummaya,undirected,Aššur-reṣuwa,
P337150,Ariaza,Biriaun,undirected,Aššur-reṣuwa,
P337150,Ariaza,Ariye,undirected,Aššur-reṣuwa,
P337150,Ariaza,Kaqqadanu,undirected,Aššur-reṣuwa,
P337150,Ariaza,Saniye,undirected,Aššur-reṣuwa,
P337150,Kummaya,Biriaun,undirected,Aššur-reṣuwa,
P337150,Kummaya,Ariye,undirected,Aššur-reṣuwa,
P337150,Kummaya,Kaqqadanu,undirected,Aššur-reṣuwa,
P337150,Kummaya,Saniye,undirected,Aššur-reṣuwa,
P337150,Biriaun,Ariye,undirected,Aššur-reṣuwa,
P337150,Biriaun,Kaqqadanu,undirected,Aššur-reṣuwa,
P337150,Biriaun,Saniye,undirected,Aššur-reṣuwa,
P337150,Ariye,Kaqqadanu,undirected,Aššur-reṣuwa,
P337150,Ariye,Saniye,undirected,Aššur-reṣuwa,
P337150,Kaqqadanu,Saniye,undirected,Aššur-reṣuwa,
P334223,Zabaya,Suitka,undirected,Zabayu,
P334863,Aššur-alik-pani,Nergal-šarrani,undirected,Aššur-alik-pani,
P313609,Aššur-šarrani,Ada,undirected,,
P313609,Aššur-šarrani,Baziya,undirected,,
P313609,Ada,Baziya,undirected,,
P334504,Nabu-belu-kaʾʾin,Ilumma-taklak,undirected,Nabu-belu-kaʾʾin,
P334483,Nabu-šumu-iddina,Mahumaya,undirected,Nabu-šumu-iddina,
P334483,Nabu-šumu-iddina,Halama,undirected,Nabu-šumu-iddina,
P334483,Nabu-šumu-iddina,Mušezibu,undirected,Nabu-šumu-iddina,
P334483,Nabu-šumu-iddina,Bel-šarru-uṣur,undirected,Nabu-šumu-iddina,
P334483,Mahumaya,Halama,undirected,Nabu-šumu-iddina,
P334483,Mahumaya,Mušezibu,undirected,Nabu-šumu-iddina,
P334483,Mahumaya,Bel-šarru-uṣur,undirected,Nabu-šumu-iddina,
P334483,Halama,Mušezibu,undirected,Nabu-šumu-iddina,
P334483,Halama,Bel-šarru-uṣur,undirected,Nabu-šumu-iddina,
