transliteration,normalization,remarks
A₂-pi₅-la-ti,Apilati[]PN,= Apilatum?
A₂-pi₅-la-tum,Apilatum[]PN,= Apilati?
A₂-pi₅-li₂,Apili[]PN,= Apilum?
A₂-pi₅-li₂-a,Apiliʾa[]PN,
A₂-pi₅-li₂-a-ta,Apiliʾa[]PN,
A₂-pi₅-li₂-ta,Apili[]PN,
A₂-pi₅-lum,Apilum[]PN,= Apili?
A₂-pi₅-lum-ma,Apiluma[]PN,= Apilum?
A₂-ti-mu,Atiŋu[]PN,
A₂-tum-še₃,Atum[]PN,
A₂-u₂-u₂,AʾUʾu[]PN,
A₂-u₂-u₂-ta,AʾUʾu[]PN,
A₂-zi-da,Azida[]PN,
A₂-{d}Nanna-ta,ANannak[]PN,uncertain
A₂.DU-ni,A₂.DU.ni[]PN,Iduni?; BPOA 7 2174 o 2 (no copy/photo)
AB-il₂-la,Abbaʾila[]PN,
AB-ma-lik,Abummalik[]PN,
AB-na,AB.na[]PN,MVN 13 529 o 17 (copy/photo)
AB-ti-ga-nu-um,AB.ti.ga.nu.um[]PN,"may not be PN (PD; title ""sheikh of Tiganum""?)"
AB.NIN.AB-kam,AB.NIN.AB.kam[]PN,PDT 2 0805 o 6 (no copy/photo)
AB.NIN.AB-kam-ta,AB.NIN.AB.kam[]PN,PDT 2 0805 r 13 (no copy/photo)
AB.ZU-{d}Inanna,Abzu[]ON,Princeton 2 321 o 4: (bull/sheep) ZU.AB {d}Inana (photo)
AŠ-ni-u₁₈-ta,Ašliʾu[]PN,
AH-bu-ru-um,Ahumburum[]PN,uncertain; 'brother is a calf'?
AK-ba-ni,Akbani[]PN,
AK-ta,AK[]PN,1 PD; elsewhere: (egir) ... AK-ta
AM-i₃-li₂,Rimili[]PN,
AMAR-ma-an{ki},AMAR.ma.an{ki}[]SN,= Ar-ma-an{ki}?
AMAR-ma-an{ki}-me,AMAR.ma.an{ki}[]SN,= Ar-ma-an{ki}?
AMAR-ma-ma,AmarMamak[]PN,"or, BurMama?"
AN-AN-zu,AN.AN.su[]PN,= Anumilišu?; UDT 119 o 4: ŋiri3 AN-AN-su (copy)
AN-DINGIR-su,AN.AN.su[]PN,= Anumilišu?; OrSP 26 66 IB 195 o 17 (copy/photo)
AN-ba-ti-ri-tum-ma,AN.ba.ti.ri.tum.ma[]PN,Ontario 1 025 o 3 (copy/photo)
AN-ga-a,AN.ga.a[]PN,UDT 091 o vii 12' (copy)
AN-ga-tum,AN.ga.tum[]PN,UDT 091 o vii 23' (copy)
AN-keš₂,AN.keš₂[]PN,TCL 2 5498 r i 4 (copy/photo)
AN-ku-zi-ri₂,AN.ku.zi.ri₂[]PN,Studies Leichty 281 08 r 1 (copy)
AN-la-il,Ilumlaʾil[]PN,uncertain (Martu); StOr 09-1 21 (pl.6) r 3 (copy)
AN-lu₂-bi,Anlubi[]PN,
AN-lu₂-mug-sa₆,Anlumugsag[]PN,
AN-lu₂-sa₆,Anlusag[]PN,
AN-lugal,Anlugal[]PN,
AN-mu-ma-sum,Diŋirŋumanšum[]PN,
AN-mu-ma-sum-me-eš₂,Diŋirŋumanšum[]PN,
AN-na-a,Anaʾa[]PN,
AN-ra-bi₂-ta,Ilumrabi[]PN,
AN-sa₆-ga,Diŋirsaga[]PN,"or, Ansaga"
AN-sukkal,Ansukkal[]PN,
AN-ti-a,Antiʾa[]PN,
AN.E₂-il,AN.E₂.il[]PN,Martu; StOr 09-1 21 (pl.6) o 8 (copy)
AN.ERIM-he₂-zu,AN.ERIN₂.he₂.zu[]PN,uncertain; UDT 179 o 5: AN.ERIN2/UD-he2-zu (copy)
AN.GA-mu,AN.GA.ŋu₁₀[]PN,MVN 03 352 o 4 (copy/photo)
AN.GAR₃-ta,AN.GAR₃[]PN,AUCT 2 008 r 1 (copy/photo)
ARAD₂-su₂-ni,Warassuni[]PN,uncertain
ARAD₂-u₃,ARAD₂.u₃[]PN,
Ab-ab-sa₆-ga,Abbaʾabbasaga[]PN,'grandfather is good'?
Ab-ab-sa₆-ga-ta,Abbaʾabbasaga[]PN,
Ab-ba,Abba[]PN,
Ab-ba-a,Abba[]PN,"or, Abbaya?"
Ab-ba-a-ta,Abba[]PN,
Ab-ba-ba-ti,Abbabateŋ[]PN,
Ab-ba-da-da,AbbaDada[]PN,
Ab-ba-ge-na,Abbagina[]PN,
Ab-ba-kal-la,Abbakala[]PN,
Ab-ba-kal-la-ta,Abbakala[]PN,
Ab-ba-mu,Abbaŋu[]PN,
Ab-ba-na-ka,Abbani[]PN,Abbana?
Ab-ba-ni-ir,Abbani[]PN,
Ab-ba-sa₆-a-ta,Abbasaga[]PN,
Ab-ba-sa₆-ga,Abbasaga[]PN,
Ab-ba-sa₆-ga-a,Abbasaga[]PN,
Ab-ba-sa₆-ga-še₃,Abbasaga[]PN,
Ab-ba-sa₆-ga-ka,Abbasaga[]PN,
Ab-ba-sa₆-ga-ta,Abbasaga[]PN,
Ab-ba-sa₆-ga-ta-ta,Abbasaga[]PN,BM 116656 o 5 (no photo/copy); likely dittography
Ab-ba-sa₆-sa₆,Abbasagsag[]PN,likely Abbasasa(g)
Ab-ba-sig₅,Abbasaga[]PN,
Ab-ba-{d}En-lil₂-ta,AbbaʾEnlil[]PN,
Ab-la,Abla[]PN,Nebraska 03 seal 3: dumu Ab-la?
Ab₂-la-la-a,Ablala[]PN,
Abzu,Abzu[]ON,probly cosmic Abzu or abzu-basin of DN
Abzu-{d}Inanna,Abzu[]ON,Princeton 2 319 o 4: (sheep/goats) for the abzu of Inana (photo)
Aš-šur₅{ki},Aššur[]SN,
Aš-šur₆{ki},Aššur[]SN,
Aš-da-en-na,Ašdaʾena[]PN,
Aš-da-ga,Ašdaga[]PN,
Aš-gu-ba-rum,Ašgubarum[]PN,
Aš-ku-da-num₂,Aškudanum[]PN,
Aš-ni-u₁₈,Ašliʾu[]PN,
Aš-ni-u₁₈-ta,Ašliʾu[]PN,
Aš-ni-u₁₉,Ašliʾu[]PN,
Aš-ni-u₁₉-ta,Ašliʾu[]PN,
Aš-nun{ki}-ta,Ešnuna[]SN,
Aš₂-du-bi₂-iš-ta,Ašdubiš[]PN,
Aš₂-nun-na-ta,Ešnuna[]PN,
Aš₂-nun-na{ki},Ešnuna[]SN,
Aš₂-nun-na{ki}-še₃,Ešnuna[]SN,
Aš₂-nun-na{ki}-ta,Ešnuna[]SN,
Aš₂-nun{ki},Ešnuna[]SN,
Aš₂-nun{ki}-še₃,Ešnuna[]SN,
Aš₂-nun{ki}-ka,Ešnuna[]SN,
Aš₂-nun{ki}-ta,Ešnuna[]SN,
Ad-da,Adda[]PN,
Ad-da-a,Addak[]PN,5 Nippur citations indicating internal genitive (Adda + -ka/ke4)
Ad-da-bi,Addabi[]PN,
Ad-da-bu-NI-hu-dah,Ad.da.bu.NI.hu.dah[]PN,
Ad-da-bu-ni,Addabuni[]PN,
Ad-da-da,Addada[]PN,
Ad-da-ga-da,Addagada[]PN,
Ad-da-ga-da-ta,Addagada[]PN,
Ad-da-ge-na,Addagina[]PN,
Ad-da-gu-la,Addagula[]PN,
Ad-da-ha-li,Addahali[]PN,
Ad-da-kal-la,Addakala[]PN,
Ad-da-kal-la-še₃,Addakala[]PN,
Ad-da-kal-la-ta,Addakala[]PN,
Ad-da-mu,Addaŋu[]PN,
Ad-da-sa₆-ga,Addasaga[]PN,
Ad-da-tur,Addatur[]PN,
Ad-du,Addu[]PN,
Ad-du-na,Adduna[]PN,
Ad-ga-nu-um,Abuganum[]PN,uncertain (2 PD); WSem
Ad-lal₃,Addalal[]PN,
Ad₆-NI-mu,Ad₆.NI.ŋu₁₀[]PN,
Adab{ki},Adab[]SN,
Adab{ki}-še₃,Adab[]SN,
Adab{ki}-ka,Adab[]SN,
Adab{ki}-me,Adab[]SN,
Adab{ki}-ta,Adab[]SN,
Ah-ba-bu,Ahbabu[]PN,
Ah-da-li-ib,Ahdalib[]PN,
Ah-ha-ti-mur,Ahatimur[]PN,
Ak-ba-ni,Akbani[]PN,
Al-ba-ni-du₁₁,Albanidug[]PN,
