transliteration,normalization,sign_names,remarks
{d}Gidim,Gidim[]DN,AN GIDIM,"offerings to divine ghost of SS; MVN 10 172 o 2, r 5 (copy)"
{d}Gu-la,Gula[]DN,AN GU LA,
{d}Gu-la-še₃,Gula[]DN,AN GU LA EŠ₂,
{d}Gu-la-ta,Gula[]DN,AN GU LA TA,
{d}Gu-nu-ra,Gunura[]DN,AN GU NU RA,
{d}Gu-nu-um,Gunum[]DN,AN GU NU UM,
{d}Gu-za,Guza[]DN,AN GU ZA,
{d}Gu-za-mah,Guzamah[]DN,AN GU ZA MAH,var. part of AS 03 year-name; Akkadica 78 11 r 25 (no copy/photo)
{d}Gu-za-{d}En-lil₂,Guza[]DN,AN GU ZA AN EN KID,"part of AS 03, 04 year-name (346 PD citations)"
{d}Ha-bu-ri₂-tum,Haburitum[]DN,AN HA BU URU TUM,
{d}Ha-bu-ri₂-tum-e,Haburitum[]DN,AN HA BU URU TUM E,
{d}Ha-ia₃,Haya[]DN,AN HA NI,
{d}Ha-ni-iš,Haniš[]DN,AN HA NI IŠ,
{d}Hendur-sag,Hendursaŋak[]DN,AN PA SAG,
{d}Hul₂-ku₃-nun-na,UrKugnunak[]PN,AN HUL₂ KU₃ NUN NA,uncertain; Nik. 2 474 r 3 (copy); DINGIR misplaced?
{d}Hur-sag-ga-lam-ma,Hursaŋkalamak[]DN,AN |HI×AŠ₂| SAG GA LAM MA,"or, TN?; note: PDT 1 555 o i 3: (offering to) hur-saŋ-kalam-ma"
{d}I-bi₂-,IbbiSuʾen[]RN,AN I NE,written over 2 lines
{d}I-bi₂-Suen,IbbiSuʾen[]RN,AN I NE EN ZU,CDLI P250455 r 5: mu {d}I-b[i₂]/-{d}EN.Z[U lugal] (photo)
{d}I-bi₂-{d}Suen,IbbiSuʾen[]RN,AN I NE AN EN ZU,
{d}I-bi₂-{d}Suen-mi-šar,IbbiSuʾenmišar[]PN,AN I NE AN EN ZU MI SAR,
{d}I-šar,Išar[]DN,AN I SAR,
{d}I₇-lu₂-ru-gu₂,Idlurugu[]DN,AN |A.LAGAB×HAL| LU₂ RU GU₂,
{d}I₇-lu₂-ru-gu₂-še₃,Idlurugu[]DN,AN |A.LAGAB×HAL| LU₂ RU GU₂ EŠ₂,
{d}I₇-lu₂-ru-gu₂-de₃,Idlurugu[]DN,AN |A.LAGAB×HAL| LU₂ RU GU₂ NE,
{d}I₇-lu₂-ru-gu₂-ka,Idlurugu[]DN,AN |A.LAGAB×HAL| LU₂ RU GU₂ KA,
{d}I₇-lu₂-ru-gu₂-ta,Idlurugu[]DN,AN |A.LAGAB×HAL| LU₂ RU GU₂ TA,
{d}IB,Uraš[]DN,AN IB,
{d}IŠKUR,Iškur[]DN,AN IM,523 PD citations (mostly Akk. or Sum. PNs)
{d}IŠKUR-ILLAT,Adadillat[]PN,AN IM KASKAL KUR,uncertain
{d}IŠKUR-ILLAT-ta,Adadillat[]PN,AN IM KASKAL KUR TA,
{d}IŠKUR-KAL,Adaddan[]PN,AN IM KAL,uncertain (Iškurkalag?)
{d}IŠKUR-SIG₅,Adaddamiq[]PN,AN IM IGI ERIN₂,
{d}IŠKUR-ba-ni,Adadbani[]PN,AN IM BA NI,
{d}IŠKUR-da-mi-iq,Adaddamiq[]PN,AN IM DA MI IG,
{d}IŠKUR-ra-bi₂,Adadrabi[]PN,AN IM RA NE,
{d}INANNA-um-mi,Eštarummi[]PN,AN MUŠ₃ UM MI,
{d}Iš-ha-ra,Išhara[]DN,AN IŠ HA RA,
{d}Iš-ha-ra-še₃,Išhara[]DN,AN IŠ HA RA EŠ₂,
{d}Iškur,Iškur[]DN,AN IM,
{d}Iškur-AN.DUL₃,Iškurandul[]PN,AN IM AN SAG@G,
{d}Iškur-TUG₂,Iškurdul[]PN,AN IM TUG₂,uncertain (for Iškurandul?)
{d}Iškur-da-ni,Adaddani[]PN,AN IM DA NI,= Adaddan?; Sum. 'Iškur is (at) his side'?
{d}Ištaran,Ištaran[]DN,AN KA DI,
{d}Ištaran-še₃,Ištaran[]DN,AN KA DI EŠ₂,
{d}Inana,Inanak[]DN,AN MUŠ₃,
{d}Inanna,Inanak[]DN,AN MUŠ₃,
{d}Inanna-KA,Inanak[]DN,AN MUŠ₃ KA,
{d}Inanna-KA-ta,Inanak[]DN,AN MUŠ₃ KA TA,
{d}Inanna-še₃,Inanak[]DN,AN MUŠ₃ EŠ₂,
{d}Inanna-da-bad₃,Inanakdabad[]DN,AN MUŠ₃ DA |EZEN×BAD|,
{d}Inanna-da-bad₃-da,Inanakdabad[]DN,AN MUŠ₃ DA |EZEN×BAD| DA,
{d}Inanna-ka,Inanak[]DN,AN MUŠ₃ KA,
{d}Inanna-ka-ta,Inanak[]DN,AN MUŠ₃ KA TA,
{d}Inanna-ke₄-ne-še₃,Inanak[]DN,AN MUŠ₃ KID NE EŠ₂,
{d}Inanna-ta,Inanak[]DN,AN MUŠ₃ TA,
{d}Inanna-tur,AʾInanakak[]PN,AN MUŠ₃ TUR,uncertain; AUCT 1 276 r 2 (copy/photo)
