id_text,source,target,Type,ancient_author,recipient,dossier,senderloc,sender_title
P334187,Yataʾ,Aššur-dur-paniya,undirected,Aššur-dur-paniya,Sargon II,SAA05.04.01.a,Rab Šaqê Province,
P334187,Abi-yaqa,Hu-Teššub,undirected,Aššur-dur-paniya,Sargon II,SAA05.04.01.a,Rab Šaqê Province,
P334187,Abi-yaqa,Aššur-bessunu,undirected,Aššur-dur-paniya,Sargon II,SAA05.04.01.a,Rab Šaqê Province,
P334187,Abi-yaqa,Aššur-dur-paniya,undirected,Aššur-dur-paniya,Sargon II,SAA05.04.01.a,Rab Šaqê Province,
P334187,Abi-yaqa,Yataʾ,undirected,Aššur-dur-paniya,Sargon II,SAA05.04.01.a,Rab Šaqê Province,
P334187,Hu-Teššub,Aššur-bessunu,undirected,Aššur-dur-paniya,Sargon II,SAA05.04.01.a,Rab Šaqê Province,
P334187,Hu-Teššub,Aššur-dur-paniya,undirected,Aššur-dur-paniya,Sargon II,SAA05.04.01.a,Rab Šaqê Province,
P334187,Hu-Teššub,Yataʾ,undirected,Aššur-dur-paniya,Sargon II,SAA05.04.01.a,Rab Šaqê Province,
P334187,Hu-Teššub,Abi-yaqa,undirected,Aššur-dur-paniya,Sargon II,SAA05.04.01.a,Rab Šaqê Province,
P334187,Aššur-bessunu,Aššur-dur-paniya,undirected,Aššur-dur-paniya,Sargon II,SAA05.04.01.a,Rab Šaqê Province,
P334187,Aššur-bessunu,Yataʾ,undirected,Aššur-dur-paniya,Sargon II,SAA05.04.01.a,Rab Šaqê Province,
P334187,Aššur-bessunu,Abi-yaqa,undirected,Aššur-dur-paniya,Sargon II,SAA05.04.01.a,Rab Šaqê Province,
P334187,Aššur-bessunu,Hu-Teššub,undirected,Aššur-dur-paniya,Sargon II,SAA05.04.01.a,Rab Šaqê Province,
P336166,Nabu-deʾiq,Šulmu-beli-lašme,undirected,Nabu-deʾiq,Governor (of Kalhu),SAA01.12.01.a,The West,
P336166,Šulmu-beli-lašme,Nabu-deʾiq,undirected,Nabu-deʾiq,Governor (of Kalhu),SAA01.12.01.a,The West,
P334499,Zeru-ibni,Erra-gamil,undirected,Zeru-ibni,Sargon II,SAA01.10.01.a,Raṣappa,LÚGAR.KUR URUra-ṣa-pa
P334499,Zeru-ibni,Nabu-šumu-uṣur,undirected,Zeru-ibni,Sargon II,SAA01.10.01.a,Raṣappa,LÚGAR.KUR URUra-ṣa-pa
P334499,Zeru-ibni,Ilaʾi-Bel,undirected,Zeru-ibni,Sargon II,SAA01.10.01.a,Raṣappa,LÚGAR.KUR URUra-ṣa-pa
P334499,Erra-gamil,Nabu-šumu-uṣur,undirected,Zeru-ibni,Sargon II,SAA01.10.01.a,Raṣappa,LÚGAR.KUR URUra-ṣa-pa
P334499,Erra-gamil,Ilaʾi-Bel,undirected,Zeru-ibni,Sargon II,SAA01.10.01.a,Raṣappa,LÚGAR.KUR URUra-ṣa-pa
P334499,Erra-gamil,Zeru-ibni,undirected,Zeru-ibni,Sargon II,SAA01.10.01.a,Raṣappa,LÚGAR.KUR URUra-ṣa-pa
P334499,Nabu-šumu-uṣur,Ilaʾi-Bel,undirected,Zeru-ibni,Sargon II,SAA01.10.01.a,Raṣappa,LÚGAR.KUR URUra-ṣa-pa
P334499,Nabu-šumu-uṣur,Zeru-ibni,undirected,Zeru-ibni,Sargon II,SAA01.10.01.a,Raṣappa,LÚGAR.KUR URUra-ṣa-pa
P334499,Nabu-šumu-uṣur,Erra-gamil,undirected,Zeru-ibni,Sargon II,SAA01.10.01.a,Raṣappa,LÚGAR.KUR URUra-ṣa-pa
